playerName,clubName,year,primaryPosition,secondaryPositions,overallRating,ratingType,sourceName,sourceUrl,sourceDate
Marc-Andre ter Stegen,Barcelona,2014,GK,,87,estimated,Sample seed data,local://sample-seed,2026-06-09
Claudio Bravo,Barcelona,2014,GK,,86,estimated,Sample seed data,local://sample-seed,2026-06-09
Dani Alves,Barcelona,2014,RB,RWB;RM,89,estimated,Sample seed data,local://sample-seed,2026-06-09
Gerard Pique,Barcelona,2014,CB,,90,estimated,Sample seed data,local://sample-seed,2026-06-09
Javier Mascherano,Barcelona,2014,CB,CDM,88,estimated,Sample seed data,local://sample-seed,2026-06-09
Jeremy Mathieu,Barcelona,2014,CB,LB,84,estimated,Sample seed data,local://sample-seed,2026-06-09
Jordi Alba,Barcelona,2014,LB,LWB;LM,88,estimated,Sample seed data,local://sample-seed,2026-06-09
Adriano,Barcelona,2014,LB,RB;LWB,82,estimated,Sample seed data,local://sample-seed,2026-06-09
Sergio Busquets,Barcelona,2014,CDM,CM,92,estimated,Sample seed data,local://sample-seed,2026-06-09
Andres Iniesta,Barcelona,2014,CM,CAM,94,estimated,Sample seed data,local://sample-seed,2026-06-09
Xavi,Barcelona,2014,CM,CDM,90,estimated,Sample seed data,local://sample-seed,2026-06-09
Ivan Rakitic,Barcelona,2014,CM,CAM,88,estimated,Sample seed data,local://sample-seed,2026-06-09
Rafinha,Barcelona,2014,CM,CAM;RM,80,estimated,Sample seed data,local://sample-seed,2026-06-09
Pedro,Barcelona,2014,RW,LW;RM,84,estimated,Sample seed data,local://sample-seed,2026-06-09
Lionel Messi,Barcelona,2014,RW,CF;ST,98,estimated,Sample seed data,local://sample-seed,2026-06-09
Luis Suarez,Barcelona,2014,ST,CF,95,estimated,Sample seed data,local://sample-seed,2026-06-09
Neymar,Barcelona,2014,LW,LM;ST,94,estimated,Sample seed data,local://sample-seed,2026-06-09
Munir El Haddadi,Barcelona,2014,ST,RW,76,estimated,Sample seed data,local://sample-seed,2026-06-09
Sandro Ramirez,Barcelona,2014,ST,LW,75,estimated,Sample seed data,local://sample-seed,2026-06-09
Martin Montoya,Barcelona,2014,RB,RWB,79,estimated,Sample seed data,local://sample-seed,2026-06-09
Keylor Navas,Real Madrid,2016,GK,,88,estimated,Sample seed data,local://sample-seed,2026-06-09
Kiko Casilla,Real Madrid,2016,GK,,80,estimated,Sample seed data,local://sample-seed,2026-06-09
Sergio Ramos,Real Madrid,2016,CB,,92,estimated,Sample seed data,local://sample-seed,2026-06-09
Raphael Varane,Real Madrid,2016,CB,,87,estimated,Sample seed data,local://sample-seed,2026-06-09
Pepe,Real Madrid,2016,CB,,88,estimated,Sample seed data,local://sample-seed,2026-06-09
Nacho,Real Madrid,2016,CB,LB;RB,83,estimated,Sample seed data,local://sample-seed,2026-06-09
